departure_airport_name,departure_airport,departure_time,departure_longitude,departure_latitude,arrival_airport,arrival_time,arrival_longitude,arrival_latitude
Fort Worth Meacham Intl (KFTW),KFTW,9.938055555555556,-97.36239599999999,32.819801,01TX,11.12138888888889,-96.87750244140624,32.38759994506836
El Paso Intl (KELP),KELP,9.288055555555555,-106.37799840000002,31.80719948,01TX,11.221388888888889,-96.87750244140624,32.38759994506836
Dupage (KDPA),KDPA,14.37138888888889,-88.24859619,41.90779877,01TX,17.204722222222223,-96.87750244140624,32.38759994506836
Houston Executive (KTME),KTME,12.154722222222222,-95.8979034423828,29.80719947814941,01TX,13.12138888888889,-96.87750244140624,32.38759994506836
Austin-Bergstrom Intl (KAUS),KAUS,12.138055555555555,-97.6698989868164,30.194499969482425,01TX,12.588055555555556,-96.87750244140624,32.38759994506836
Dallas Love Field (KDAL),KDAL,13.571388888888889,-96.851799,32.847099,01TX,14.471388888888889,-96.87750244140624,32.38759994506836
Skylark Field (KILE),KILE,14.921388888888888,-97.6865005493,31.0858001709,01TX,15.804722222222223,-96.87750244140624,32.38759994506836
