departure_airport_name,departure_airport,departure_time,departure_longitude,departure_latitude,arrival_airport,arrival_time,arrival_longitude,arrival_latitude
Alpine-Casparis Muni (E38),KE38,13.388055555555555,-103.683998108,30.3841991425,0R7,16.52138888888889,-93.30740356445312,31.99069976806641
Baton Rouge Metro (KBTR),KBTR,13.388055555555555,-91.149597,30.533199,0R7,14.304722222222223,-93.30740356445312,31.99069976806641
Houston Ellington (KEFD),KEFD,17.438055555555557,-95.15879821780001,29.6072998047,0R7,18.77138888888889,-93.30740356445312,31.99069976806641
