departure_airport_name,departure_airport,departure_time,departure_longitude,departure_latitude,arrival_airport,arrival_time,arrival_longitude,arrival_latitude
McKinney National (KTKI),KTKI,13.704722222222221,-96.5905,33.177898,1T8,15.504722222222222,-98.45110321044922,29.73909950256348
Bulverde Airpark (1T8),1T8,12.971388888888889,-98.45110321044922,29.73909950256348,1T8,13.721388888888889,-98.45110321044922,29.73909950256348
West Houston (KIWS),KIWS,12.821388888888889,-95.6725997925,29.8181991577,1T8,14.288055555555555,-98.45110321044922,29.73909950256348
