departure_airport_name,departure_airport,departure_time,departure_longitude,departure_latitude,arrival_airport,arrival_time,arrival_longitude,arrival_latitude
Hank Sasser Airport At Breakaway (40XS),40XS,14.504722222222222,-97.78060150146484,30.51799964904785,16X,15.471388888888889,-97.35890197753906,33.080699920654304
Pearland Rgnl (KLVJ),KLVJ,16.77138888888889,-95.24210357666016,29.521299362182614,16X,18.704722222222223,-97.35890197753906,33.080699920654304
Destin Executive (KDTS),KDTS,15.138055555555555,-86.47149658,30.40010071,16X,18.438055555555557,-97.35890197753906,33.080699920654304
