departure_airport_name,departure_airport,departure_time,departure_longitude,departure_latitude,arrival_airport,arrival_time,arrival_longitude,arrival_latitude
Piedmont Triad Intl (KGSO),KGSO,11.304722222222223,-79.93730163574219,36.097801208496094,24NC,11.654722222222222,-80.47499847410002,35.127201080300004
Piedmont Triad Intl (KGSO),KGSO,16.254722222222224,-79.93730163574219,36.097801208496094,24NC,16.62138888888889,-80.47499847410002,35.127201080300004
Piedmont Triad Intl (KGSO),KGSO,17.27138888888889,-79.93730163574219,36.097801208496094,24NC,17.654722222222222,-80.47499847410002,35.127201080300004
Piedmont Triad Intl (KGSO),KGSO,17.388055555555557,-79.93730163574219,36.097801208496094,24NC,17.738055555555558,-80.47499847410002,35.127201080300004
Piedmont Triad Intl (KGSO),KGSO,17.388055555555557,-79.93730163574219,36.097801208496094,24NC,17.754722222222224,-80.47499847410002,35.127201080300004
Charleston Intl/AFB (KCHS),KCHS,15.154722222222222,-80.04049683,32.89860153,24NC,15.954722222222221,-80.47499847410002,35.127201080300004
