departure_airport_name,departure_airport,departure_time,departure_longitude,departure_latitude,arrival_airport,arrival_time,arrival_longitude,arrival_latitude
Fernandina Beach Muni (KFHB),K55J,20.638055555555557,-81.461197,30.611798999999998,15FL,21.138055555555557,-82.66639709472656,30.15369987487793
Williston Muni (X60),KX60,12.171388888888888,-82.472900390625,29.35420036315918,15FL,12.504722222222222,-82.66639709472656,30.15369987487793
Cannon Creek Airpark (15FL),15FL,13.488055555555555,-82.66639709472656,30.15369987487793,15FL,15.304722222222223,-82.66639709472656,30.15369987487793
Fernandina Beach Muni (KFHB),K55J,20.338055555555556,-81.461197,30.611798999999998,15FL,20.82138888888889,-82.66639709472656,30.15369987487793
Monroe-Walton County (D73),KD73,15.238055555555555,-83.692903,33.782398,15FL,16.938055555555557,-82.66639709472656,30.15369987487793
Jacksonville Executive At Craig (KCRG),KCRG,22.354722222222225,-81.51439666750002,30.3362998962,15FL,22.888055555555557,-82.66639709472656,30.15369987487793
