departure_airport_name,departure_airport,departure_time,departure_longitude,departure_latitude,arrival_airport,arrival_time,arrival_longitude,arrival_latitude
William P Hobby (KHOU),KHOU,10.12138888888889,-95.27890015,29.64539909,0XA5,10.921388888888888,-98.38279724121094,28.68490028381348
William P Hobby (KHOU),KHOU,15.12138888888889,-95.27890015,29.64539909,0XA5,15.988055555555555,-98.38279724121094,28.68490028381348
William P Hobby (KHOU),KHOU,10.004722222222222,-95.27890015,29.64539909,0XA5,10.788055555555555,-98.38279724121094,28.68490028381348
William P Hobby (KHOU),KHOU,17.654722222222222,-95.27890015,29.64539909,0XA5,18.304722222222225,-98.38279724121094,28.68490028381348
Centennial (KAPA),KAPA,9.738055555555555,-104.84899899999999,39.57009888,0XA5,12.888055555555555,-98.38279724121094,28.68490028381348
William P Hobby (KHOU),KHOU,15.238055555555555,-95.27890015,29.64539909,0XA5,15.921388888888888,-98.38279724121094,28.68490028381348
