departure_airport_name,departure_airport,departure_time,departure_longitude,departure_latitude,arrival_airport,arrival_time,arrival_longitude,arrival_latitude
McCarran Intl (KLAS),KLAS,8.304722222222223,-115.15200039999999,36.08010101,2TA8,12.704722222222221,-98.22200012,26.85840034
Dallas Love Field (KDAL),KDAL,15.888055555555555,-96.851799,32.847099,2TA8,17.02138888888889,-98.22200012,26.85840034
