origin,longitude,latitude,departure,arrival
New Orleans Intl (KMSY),-90.25800323486328,29.99340057373047,17.216666666666665,19.283333333333335
Lincoln (KLNK),-96.75920104980469,40.85100173950195,17.983333333333334,19.283333333333335
Indianapolis Intl (KIND),-86.294403,39.7173,19.566666666666666,19.266666666666666
San Diego Intl (KSAN),-117.190002441,32.7336006165,13.65,19.25
Taiwan Taoyuan Int'l (TPE / RCTP),121.233002,25.0777,20.566666666666666,19.25
Huntsville Intl (KHSV),-86.775100708008,34.637199401855,17.783333333333335,19.233333333333334
Gogebic-Iron County (KIWD),-90.13140106200001,46.52750015260001,17.366666666666667,19.216666666666665
Bishop Intl (KFNT),-83.74359893798828,42.96540069580078,19.533333333333335,19.216666666666665
Cincinnati/Northern Kentucky International Airport (KCVG),-84.6678009033,39.0488014221,19.333333333333332,19.216666666666665
Buffalo Niagara Intl (KBUF),-78.73220062,42.94049835,18.933333333333334,19.216666666666665
Lakefront (KNEW),-90.02829742431601,30.042400360107003,16.866666666666667,19.2
Wichita Eisenhower (KICT),-97.433098,37.649899,17.7,19.2
Cancun Int'l (CUN / MMUN),-86.8770980835,21.036500930800003,16.95,19.183333333333334
Louisville Muhammad Ali Intl (KSDF),-85.736,38.1744,19.25,19.166666666666668
Portland Intl Jetport (KPWM),-70.309303,43.646198,17.833333333333332,19.166666666666668
Raleigh-Durham Intl (KRDU),-78.7874984741211,35.877601623535156,18.5,19.15
Los Angeles Intl (KLAX),-118.40799709999999,33.94250107,13.55,19.116666666666667
Los Angeles Intl (KLAX),-118.40799709999999,33.94250107,13.633333333333333,19.116666666666667
Northwest Arkansas Rgnl (KXNA),-94.30680100000001,36.281898,17.816666666666666,19.083333333333332
Salina Rgnl (KSLN),-97.6521987915039,38.79100036621094,17.7,19.083333333333332
MBS Intl (KMBS),-84.07959747314453,43.532901763916016,19.35,19.05
Hartsfield-Jackson Intl (KATL),-84.428101,33.6367,18.566666666666666,19.05
Juan Santamaria Int'l (SJO / MROC),-84.20880126953125,9.993860244750977,14.35,19.016666666666666
Philadelphia Intl (KPHL),-75.24109649658203,39.87189865112305,18.35,19.0
Palm Springs Intl (KPSP),-116.50700378417969,33.829700469970696,13.633333333333333,18.966666666666665
Punta Cana Int'l (PUJ / MDPC),-68.36340332030001,18.567399978599997,16.733333333333334,18.966666666666665
LaGuardia (KLGA),-73.87259674,40.77719879,18.133333333333333,18.95
Harrisburg Intl (KMDT),-76.7633972168,40.1935005188,18.433333333333334,18.95
Univ of IL - Willard (KCMI),-88.27809906,40.03919983,18.35,18.933333333333334
Orlando Intl (KMCO),-81.30899810791016,28.429399490356445,17.433333333333334,18.916666666666668
Boston Logan Intl (KBOS),-71.00520325,42.36429977,17.766666666666666,18.9
Hartsfield-Jackson Intl (KATL),-84.428101,33.6367,18.383333333333333,18.9
Baltimore/Washington Intl (KBWI),-76.668297,39.1754,18.3,18.883333333333333
Lic. Gustavo Diaz Ordaz Int'l (PVR / MMPR),-105.25399780273438,20.680099487304688,15.25,18.866666666666667
Palm Beach Intl (KPBI),-80.09559631347656,26.68320083618164,17.066666666666666,18.866666666666667
Newark Liberty Intl (KEWR),-74.168701171875,40.69250106811523,18.05,18.866666666666667
Dane Co Rgnl (KMSN),-89.3375015258789,43.13990020751953,18.35,18.85
Savannah/Hilton Head Intl (KSAV),-81.20210266,32.12760162,17.933333333333334,18.833333333333332
Appleton Intl (KATW),-88.51909637450001,44.258098602299995,18.2,18.816666666666666
Cancun Int'l (CUN / MMUN),-86.8770980835,21.036500930800003,16.583333333333332,18.816666666666666
Greenbrier Valley (KLWB),-80.3994979858,37.8582992554,18.566666666666666,18.8
Greater Rochester Intl (KROC),-77.67240142822266,43.118900299072266,18.45,18.783333333333335
Houston Bush Int'ctl (KIAH),-95.34140014648438,29.98439979553223,16.783333333333335,18.766666666666666
Southwest Florida Intl (KRSW),-81.75520324707031,26.53619956970215,17.266666666666666,18.766666666666666
Manchester (KMHT),-71.435699,42.932598,17.7,18.75
Luis Munoz Marin Intl (SJU / TJSJ),-66.0018005371,18.4393997192,16.35,18.75
Reagan National (KDCA),-77.037697,38.8521,18.133333333333333,18.716666666666665
Toronto Pearson Int'l (CYYZ),-79.63059997559999,43.6772003174,18.516666666666666,18.716666666666665
Minneapolis/St Paul Intl (KMSP),-93.221802,44.882,17.733333333333334,18.683333333333334
Los Cabos Int'l (SJD / MMSD),-109.72100067138672,23.15180015563965,14.033333333333333,18.666666666666668
Buffalo Niagara Intl (KBUF),-78.73220062,42.94049835,18.383333333333333,18.65
Boston Logan Intl (KBOS),-71.00520325,42.36429977,17.466666666666665,18.633333333333333
Lic. Gustavo Diaz Ordaz Int'l (PVR / MMPR),-105.25399780273438,20.680099487304688,15.033333333333333,18.633333333333333
Tampa Intl (KTPA),-82.533203125,27.975500106811523,17.433333333333334,18.633333333333333
Pittsburgh Intl (KPIT),-80.23290253,40.49150085,18.566666666666666,18.616666666666667
Philadelphia Intl (KPHL),-75.24109649658203,39.87189865112305,17.866666666666667,18.583333333333332
John Glenn Columbus Intl Airport (KCMH),-82.891899,39.998001,18.683333333333334,18.566666666666666
Blue Grass (KLEX),-84.60590362548828,38.0364990234375,18.533333333333335,18.533333333333335
Los Angeles Intl (KLAX),-118.40799709999999,33.94250107,13.033333333333333,18.516666666666666
Cleveland-Hopkins Intl (KCLE),-81.8498001099,41.411701202399996,18.583333333333332,18.516666666666666
Yeager (KCRW),-81.59320068359375,38.37310028076172,18.383333333333333,18.483333333333334
Denver Intl (KDEN),-104.672996521,39.861698150635,15.55,18.483333333333334
Jacksonville Intl (KJAX),-81.68789672851562,30.49410057067871,17.45,18.466666666666665
Lic. Benito Juarez Int'l (MEX / MMMX),-99.072098,19.4363,14.933333333333334,18.45
Minneapolis/St Paul Intl (KMSP),-93.221802,44.882,17.45,18.45
McGhee Tyson (KTYS),-83.99400329999999,35.81100082,18.166666666666668,18.433333333333334
Los Angeles Intl (KLAX),-118.40799709999999,33.94250107,12.9,18.416666666666668
Scranton Intl (KAVP),-75.72339630130001,41.338500976599995,17.733333333333334,18.416666666666668
Indianapolis Intl (KIND),-86.294403,39.7173,18.65,18.4
Sangster Int'l (MBJ / MKJS),-77.91339874267578,18.503700256347656,15.783333333333333,18.4
Green Bay-Austin Straubel Intl (KGRB),-88.12960052490234,44.48509979248047,17.683333333333334,18.383333333333333
Fort Lauderdale Intl (KFLL),-80.152702,26.072599,16.766666666666666,18.366666666666667
University Park Airport (KUNV),-77.84870147710002,40.8493003845,17.966666666666665,18.35
Nashville Intl (KBNA),-86.6781997680664,36.1245002746582,17.1,18.333333333333332
Albany Intl (KALB),-73.80169677734375,42.74829864501953,17.416666666666668,18.316666666666666
Blue Grass (KLEX),-84.60590362548828,38.0364990234375,18.3,18.316666666666666
London Heathrow (LHR / EGLL),-0.461941,51.4706,16.316666666666666,18.316666666666666
Kalamazoo/Battle Creek Intl (KAZO),-85.5521011352539,42.234901428222656,18.75,18.283333333333335
Greenville/Spartanburg Intl (KGSP),-82.2189025879,34.895698547399995,17.716666666666665,18.283333333333335
Washington Dulles Intl (KIAD),-77.45580292,38.94449997,17.766666666666666,18.283333333333335
Westchester County (KHPN),-73.70760345458984,41.06700134277344,17.416666666666668,18.283333333333335
Roanoke Rgnl (KROA),-79.975403,37.3255,17.783333333333335,18.25
Quad City Intl (KMLI),-90.50749969482422,41.44850158691406,17.616666666666667,18.25
Minneapolis/St Paul Intl (KMSP),-93.221802,44.882,17.233333333333334,18.25
Hector Intl (KFAR),-96.81580352783205,46.92070007324219,16.8,18.233333333333334
Akron-Canton Rgnl (KCAK),-81.44219970703125,40.916099548339844,18.216666666666665,18.233333333333334
Tampa Intl (KTPA),-82.533203125,27.975500106811523,16.883333333333333,18.216666666666665
Richmond Intl (KRIC),-77.3197021484375,37.50519943237305,17.516666666666666,18.2
Munich Int'l (MUC / EDDM),11.7861,48.353802,16.25,18.2
Seattle-Tacoma Intl (KSEA),-122.308998,47.449001,12.8,18.183333333333334
Pittsburgh Intl (KPIT),-80.23290253,40.49150085,18.033333333333335,18.183333333333334
Milwaukee Mitchell Intl Airport (KMKE),-87.89659881591797,42.94720077514648,17.7,18.166666666666668
Palm Beach Intl (KPBI),-80.09559631347656,26.68320083618164,16.6,18.15
Luis Munoz Marin Intl (SJU / TJSJ),-66.0018005371,18.4393997192,15.666666666666666,18.15
Lehigh Valley Intl (KABE),-75.44080352783203,40.652099609375,17.483333333333334,18.133333333333333
Boston Logan Intl (KBOS),-71.00520325,42.36429977,16.966666666666665,18.133333333333333
Salt Lake City Intl (KSLC),-111.97799682617188,40.78839874267578,14.483333333333333,18.116666666666667
Cancun Int'l (CUN / MMUN),-86.8770980835,21.036500930800003,15.9,18.116666666666667
Toronto Pearson Int'l (CYYZ),-79.63059997559999,43.6772003174,17.866666666666667,18.1
Piedmont Triad Intl (KGSO),-79.93730163574219,36.097801208496094,17.683333333333334,18.1
Nashville Intl (KBNA),-86.6781997680664,36.1245002746582,16.883333333333333,18.083333333333332
Jackson Hole (KJAC),-110.73799896240234,43.6072998046875,14.616666666666667,18.083333333333332
Copenhagen (CPH / EKCH),12.656000137328999,55.617900848389,16.683333333333334,18.083333333333332
Calgary Int'l (CYYC),-114.019996643,51.113899231000005,14.283333333333333,18.066666666666666
Harrisburg Intl (KMDT),-76.7633972168,40.1935005188,17.6,18.05
St Louis Lambert Intl (KSTL),-90.370003,38.748697,17.2,18.033333333333335
Cape Girardeau Rgnl (KCGI),-89.57080078125,37.22529983520508,16.933333333333334,18.016666666666666
Asheville Rgnl (KAVL),-82.54180145263672,35.43619918823242,17.65,18.016666666666666
John F Kennedy Intl (KJFK),-73.77890015,40.63980103,17.05,18.016666666666666
T. F. Green International (KPVD),-71.42040300000001,41.732601,16.716666666666665,18.0
St Louis Lambert Intl (KSTL),-90.370003,38.748697,15.333333333333334,18.0
Los Cabos Int'l (SJD / MMSD),-109.72100067138672,23.15180015563965,13.316666666666666,18.0
Louisville Muhammad Ali Intl (KSDF),-85.736,38.1744,18.05,17.983333333333334
Memphis Intl (KMEM),-89.97669982910156,35.04240036010742,16.616666666666667,17.966666666666665
Newark Liberty Intl (KEWR),-74.168701171875,40.69250106811523,17.15,17.966666666666665
Capital Region Intl (KLAN),-84.58740234375,42.77870178222656,18.316666666666666,17.95
Cleveland-Hopkins Intl (KCLE),-81.8498001099,41.411701202399996,18.066666666666666,17.95
Orlando Intl (KMCO),-81.30899810791016,28.429399490356445,16.666666666666668,17.933333333333334
Southeast Iowa Rgnl (KBRL),-91.12550354003906,40.783199310302734,16.7,17.933333333333334
Sioux Gateway (KSUX),-96.384399,42.402599,16.533333333333335,17.916666666666668
Dane Co Rgnl (KMSN),-89.3375015258789,43.13990020751953,17.416666666666668,17.916666666666668
Greater Rochester Intl (KROC),-77.67240142822266,43.118900299072266,17.5,17.9
Lynden Pindling Int'l (Nassau) (NAS / MYNN),-77.466202,25.039,15.933333333333334,17.9
Salt Lake City Intl (KSLC),-111.97799682617188,40.78839874267578,14.283333333333333,17.883333333333333
South Bend Intl (KSBN),-86.31729888916016,41.70869827270508,18.533333333333335,17.883333333333333
Sarasota/Bradenton Intl (KSRQ),-82.55439758300781,27.39539909362793,16.533333333333335,17.85
McCarran Intl (KLAS),-115.15200039999999,36.08010101,12.766666666666667,17.85
McCarran Intl (KLAS),-115.15200039999999,36.08010101,12.766666666666667,17.85
Detroit Metro Wayne Co (KDTW),-83.35340118408203,42.212398529052734,18.116666666666667,17.85
Lovell Field (KCHA),-85.20379638671875,35.03530120849609,17.466666666666665,17.816666666666666
Calgary Int'l (CYYC),-114.019996643,51.113899231000005,14.083333333333334,17.816666666666666
Charles de Gaulle/Roissy (CDG / LFPG),2.55,49.012798,16.5,17.783333333333335
General Downing - Peoria Intl (KPIA),-89.6932983398,40.664199829100006,17.25,17.783333333333335
London Heathrow (LHR / EGLL),-0.461941,51.4706,15.35,17.75
Cincinnati/Northern Kentucky International Airport (KCVG),-84.6678009033,39.0488014221,17.95,17.733333333333334
Quad City Intl (KMLI),-90.50749969482422,41.44850158691406,17.133333333333333,17.7
LaGuardia (KLGA),-73.87259674,40.77719879,16.85,17.7
Charlotte/Douglas Intl (KCLT),-80.94309997558594,35.2140007019043,17.2,17.7
San Francisco Intl (KSFO),-122.375,37.61899948120117,12.05,17.666666666666668
Dubuque Rgnl (KDBQ),-90.70950317,42.40200043,17.016666666666666,17.666666666666668
Miami Intl (KMIA),-80.29060363769531,25.79319953918457,16.0,17.65
Gowen Field (KBOI),-116.223,43.5644,13.75,17.65
Golden Triangle Rgnl (KGTR),-88.59140014649999,33.450298309299995,15.966666666666667,17.616666666666667
Boston Logan Intl (KBOS),-71.00520325,42.36429977,16.5,17.616666666666667
Cent II Rgnl (KBMI),-88.91590118,40.47710037,17.1,17.6
Charleston Intl/AFB (KCHS),-80.04049683,32.89860153,16.783333333333335,17.6
Detroit Metro Wayne Co (KDTW),-83.35340118408203,42.212398529052734,17.85,17.583333333333332
Tucson Intl (KTUS),-110.94100189208984,32.116100311279304,13.583333333333334,17.566666666666666
Indianapolis Intl (KIND),-86.294403,39.7173,17.883333333333333,17.55
Reagan National (KDCA),-77.037697,38.8521,16.983333333333334,17.55
Istanbul Airport (IST / LTFM),28.751944,41.275278,15.55,17.533333333333335
James M Cox Dayton Intl (KDAY),-84.21939849853516,39.90240097045898,17.75,17.516666666666666
Memphis Intl (KMEM),-89.97669982910156,35.04240036010742,16.15,17.5
Providenciales Int'l (PLS / MBPV),-72.26589965820312,21.77359962463379,14.816666666666666,17.483333333333334
Philip S. W. Goldson Int'l (BZE / MZBZ),-88.30819702148438,17.539100646972653,13.866666666666667,17.483333333333334
LaGuardia (KLGA),-73.87259674,40.77719879,16.65,17.483333333333334
Gerald R Ford Intl (KGRR),-85.52279663,42.88079834,17.966666666666665,17.466666666666665
Kansas City Intl (KMCI),-94.713898,39.2976,16.4,17.45
Rickenbacker Intl (KLCK),-82.927803,39.813801,17.516666666666666,17.45
